source_id,target_id
2,382
3,458
3,464
4,105
4,212
4,255
4,486
5,360
5,461
6,51
6,134
6,265
7,150
7,294
8,109
8,378
9,4
9,90
9,124
9,183
9,189
9,258
9,272
9,324
9,493
10,186
10,226
10,236
10,384
11,26
11,200
11,392
11,439
11,495
12,47
12,203
12,425
12,435
13,92
13,338
14,43
14,47
14,185
14,306
14,377
14,465
15,42
15,60
15,93
15,164
15,254
16,32
16,74
16,325
16,487
17,119
17,294
17,310
17,354
18,229
19,65
19,151
19,233
19,317
19,405
20,5
20,30
20,156
20,339
21,127
21,387
21,391
22,148
22,224
23,163
23,181
23,326
23,363
23,415
24,20
24,126
24,167
24,485
24,486
24,499
25,123
25,126
25,392
26,134
26,145
26,149
26,286
26,343
26,346
26,467
27,329
27,496
28,51
28,284
29,72
29,233
29,327
29,426
30,39
31,81
31,85
31,301
31,313
31,317
32,106
32,231
32,286
32,342
32,362
33,244
34,65
34,159
34,169
34,206
35,154
35,363
35,489
36,73
36,121
36,400
36,479
37,204
37,352
38,24
38,43
38,65
38,159
38,198
38,230
38,232
38,234
38,353
38,461
39,484
40,152
40,294
41,10
41,178
41,221
41,313
42,71
42,81
42,140
42,165
42,241
42,335
42,350
43,391
44,48
44,60
44,124
44,128
44,259
44,269
45,96
45,143
45,415
46,162
46,182
46,224
46,334
47,3
47,223
47,383
47,405
47,426
47,466
47,485
48,116
48,151
48,208
48,275
48,331
48,420
49,95
49,286
50,121
50,202
50,225
50,269
51,352
51,390
51,427
51,486
52,212
52,260
52,305
53,14
53,41
53,68
53,182
53,416
53,447
54,296
54,440
55,164
55,222
55,399
55,471
56,196
56,306
56,316
56,347
56,394
57,98
57,146
57,214
57,339
57,398
57,429
58,17
58,32
59,208
59,237
59,240
59,272
59,279
59,289
59,382
59,391
59,421
59,437
60,72
60,198
60,497
61,92
61,135
61,239
61,286
61,328
61,383
63,15
63,137
63,294
63,486
64,146
64,233
64,266
64,369
64,410
65,35
65,141
65,321
65,380
66,22
66,500
67,285
67,314
68,8
68,263
68,306
68,403
69,199
69,245
69,335
69,436
70,33
70,156
70,199
70,393
70,437
70,444
71,3
71,20
71,80
71,266
71,272
71,366
71,392
71,432
72,122
72,245
72,389
73,37
73,50
73,387
73,470
74,119
74,150
74,290
74,386
75,9
75,33
75,67
75,126
75,132
75,149
76,13
76,221
76,421
77,124
77,154
77,466
78,5
78,77
78,119
78,212
78,491
79,88
79,101
79,156
79,233
79,256
79,348
79,362
79,379
80,39
80,81
80,337
80,454
80,474
81,2
81,38
81,190
81,365
82,160
82,170
82,187
82,256
82,381
82,488
83,140
83,169
83,419
84,93
84,202
84,494
85,83
85,168
85,370
86,223
86,332
86,354
87,40
87,72
87,304
87,376
88,43
88,90
88,269
89,461
90,67
90,103
90,214
90,283
90,316
90,407
90,426
91,412
91,479
91,488
91,494
92,476
93,280
93,300
93,394
93,446
94,250
94,394
94,416
96,256
96,349
96,480
97,266
97,412
98,27
98,131
98,147
98,391
98,496
99,90
99,111
99,116
99,205
99,216
99,318
100,186
100,368
101,187
102,39
102,89
102,218
102,309
103,63
103,304
103,388
103,406
103,411
104,23
104,294
105,137
105,170
105,175
106,35
106,36
107,288
107,301
107,354
108,221
108,350
109,182
109,233
109,393
110,33
110,104
110,314
111,299
111,387
112,259
112,297
112,387
113,203
113,491
114,103
114,208
114,212
114,380
114,485
115,63
115,333
116,327
116,332
116,398
116,414
117,115
117,183
117,383
118,109
118,493
119,62
120,27
120,169
120,277
120,418
120,439
120,474
121,53
121,140
121,229
121,345
121,399
122,155
122,196
122,497
123,65
123,89
123,125
123,141
123,283
123,364
124,130
124,239
124,255
124,293
124,368
125,53
125,65
125,76
125,131
125,224
125,234
125,265
125,293
125,385
127,103
127,236
127,366
128,4
128,337
128,342
128,470
129,101
130,19
130,166
130,383
130,428
130,482
131,149
131,192
131,236
131,342
131,419
132,111
132,391
132,393
132,468
133,114
134,92
134,197
134,284
135,300
136,20
136,27
136,275
136,313
136,339
136,404
137,82
137,408
137,424
138,79
138,155
138,166
138,194
138,253
138,296
139,24
139,316
139,478
140,71
140,99
140,224
140,257
140,360
140,402
141,5
141,148
141,320
141,328
142,97
142,216
142,285
142,371
142,393
142,396
142,440
143,128
143,180
143,286
143,294
144,419
144,423
144,461
145,52
145,195
145,199
145,360
145,372
146,130
146,233
146,241
146,264
146,386
147,40
147,210
147,356
147,398
147,470
148,122
148,308
148,361
148,362
149,329
149,449
149,457
150,261
150,358
150,426
151,165
151,184
151,233
152,117
152,157
152,168
152,189
152,213
152,291
152,409
153,116
153,233
153,238
153,291
153,386
153,395
153,429
154,84
154,141
154,165
154,248
154,328
154,351
154,436
154,440
155,8
155,63
155,102
155,235
155,299
155,436
155,485
156,147
156,315
156,359
157,129
157,340
157,421
158,24
158,82
158,134
158,187
158,255
158,371
159,93
159,116
159,264
159,287
159,382
159,404
159,495
160,56
160,181
160,354
160,370
161,215
161,219
161,224
161,333
161,341
161,442
162,62
162,78
162,478
163,246
163,321
163,487
164,150
164,357
165,147
165,239
165,310
165,344
165,398
166,443
166,479
166,480
167,88
167,193
167,196
167,340
167,398
168,45
168,62
168,173
168,207
168,339
168,469
168,477
169,118
169,143
170,84
170,140
170,278
170,345
170,368
170,481
171,42
171,69
171,156
171,283
171,399
171,401
171,412
172,164
173,405
173,449
174,114
174,286
174,320
174,348
174,412
175,7
175,95
175,144
175,310
175,486
176,234
176,332
176,366
177,13
177,66
177,124
177,221
177,301
177,489
177,500
178,80
178,273
178,486
179,160
179,180
179,244
179,287
180,4
180,159
180,433
181,25
181,113
181,260
181,360
183,442
184,32
184,405
185,55
185,92
185,129
185,263
186,40
186,197
186,261
186,263
186,319
187,59
188,24
188,204
189,86
189,224
189,240
189,279
189,345
189,348
189,426
190,36
190,112
190,161
190,191
191,56
191,284
191,416
191,470
192,115
192,121
192,213
192,221
192,407
192,492
193,79
193,95
193,161
193,204
193,215
193,222
193,330
194,193
194,234
195,44
195,143
195,168
195,173
195,194
195,273
195,292
195,347
195,365
195,412
195,459
195,489
196,422
197,98
197,356
197,387
197,437
198,42
198,174
198,340
199,192
200,163
200,173
200,437
200,464
201,67
201,238
202,304
203,8
203,171
203,258
203,420
203,446
204,41
204,142
204,368
204,418
204,469
204,496
204,497
205,67
205,213
205,348
205,496
206,27
206,219
206,225
206,343
206,417
207,483
208,187
208,236
208,281
208,352
208,424
209,335
209,481
209,499
210,171
210,231
210,345
210,397
210,446
211,7
211,182
211,187
211,257
211,356
212,24
212,28
212,174
212,199
213,28
213,140
213,175
213,209
213,234
213,336
213,428
213,454
214,96
214,149
214,152
214,210
214,317
215,128
215,279
215,301
215,315
215,328
215,495
216,192
216,270
217,177
217,445
218,113
218,249
218,382
219,264
219,285
219,426
220,1
220,157
220,339
220,433
221,36
221,51
221,55
221,69
221,230
221,232
221,418
222,50
222,258
223,91
223,177
223,331
224,1
224,119
224,326
224,423
225,18
225,23
225,42
225,64
225,269
225,409
225,451
226,18
226,35
226,40
226,52
226,172
226,213
226,237
227,60
227,153
227,314
227,339
227,484
228,86
228,180
228,185
228,313
228,391
229,22
229,192
229,276
229,309
229,415
229,460
230,120
230,316
230,349
230,399
230,446
231,127
231,133
231,239
231,252
231,464
231,466
231,486
232,164
232,258
233,47
233,139
233,175
233,190
234,8
234,69
234,77
234,192
234,433
235,33
235,55
236,180
236,468
237,94
237,232
237,298
237,327
237,483
238,292
238,357
238,466
239,51
239,213
239,274
239,359
240,353
241,147
241,150
241,179
241,227
241,266
241,390
241,401
241,463
242,13
242,17
242,52
243,35
243,124
243,136
243,266
243,284
243,343
244,257
244,313
244,418
245,4
245,270
245,334
246,107
246,161
246,226
246,324
246,434
247,115
247,448
247,496
248,54
248,55
248,99
248,126
248,177
248,238
248,239
248,242
249,15
249,321
250,113
251,47
251,95
251,285
251,316
251,363
252,38
252,230
252,236
252,365
253,60
253,238
254,25
254,148
254,205
254,305
254,306
254,494
255,189
255,355
255,427
255,456
256,72
256,282
256,433
256,451
257,21
257,78
257,287
257,382
258,149
258,271
258,329
258,473
258,495
259,231
259,235
259,240
259,310
260,109
260,137
260,159
260,197
260,284
260,332
260,403
260,425
261,186
261,206
261,273
261,383
262,100
262,243
262,325
262,383
263,59
263,76
263,209
263,411
264,72
264,240
264,288
264,295
265,436
266,137
266,199
266,238
266,286
267,87
267,248
267,474
268,195
268,313
269,18
269,41
269,253
269,306
270,130
270,211
270,229
270,279
270,342
270,467
271,66
271,217
271,361
272,111
272,177
272,211
272,257
273,176
273,195
273,283
274,48
274,123
274,260
274,379
275,5
275,77
275,147
276,202
276,383
276,397
277,27
277,129
277,170
277,253
277,449
278,31
278,237
278,329
279,218
279,243
279,289
280,93
280,174
280,182
281,365
281,482
282,14
282,68
282,170
282,278
283,8
283,39
283,75
283,141
283,209
283,244
283,370
284,48
284,66
284,107
284,148
284,294
284,482
284,489
285,189
286,14
286,188
286,272
286,285
287,112
287,237
287,305
287,464
288,169
288,212
288,357
288,499
289,22
289,30
289,124
289,154
289,331
289,340
289,443
290,125
290,330
290,350
290,440
290,443
291,244
291,428
292,155
292,288
292,318
293,184
293,197
294,119
294,208
295,114
295,152
295,164
295,195
295,220
295,347
296,117
296,136
296,307
296,323
297,14
297,187
297,369
298,189
298,353
298,493
299,158
299,206
299,246
299,340
300,339
301,111
301,297
301,487
302,166
302,206
302,339
302,354
302,390
303,29
303,170
304,56
304,173
304,250
304,354
305,70
305,327
305,363
305,384
306,2
306,44
306,272
306,275
306,307
306,448
306,498
307,21
307,27
307,29
307,246
307,345
309,21
309,55
309,79
309,422
309,486
310,71
310,129
310,173
311,74
311,227
311,262
311,306
311,336
311,382
311,411
311,458
312,76
312,410
312,476
313,61
313,114
313,343
313,439
314,23
314,164
315,23
315,114
315,181
315,223
315,305
316,101
316,379
317,236
318,129
318,172
318,350
318,384
318,397
318,453
319,79
319,274
319,315
320,161
320,349
321,109
321,227
321,348
322,50
322,54
322,280
323,119
323,295
323,370
324,156
324,351
325,156
325,252
325,300
325,361
326,98
326,320
326,422
326,457
326,490
327,342
327,445
327,482
328,16
328,301
328,460
329,38
329,261
329,279
329,328
329,374
329,379
329,395
330,220
330,494
331,21
331,31
331,89
331,188
331,365
331,443
331,494
332,33
332,41
332,132
332,172
332,427
333,42
333,172
333,184
333,210
334,78
334,97
334,108
334,227
334,499
335,185
335,345
336,39
336,132
336,334
336,353
336,484
336,497
337,17
337,206
337,425
337,446
337,494
338,44
338,79
338,203
338,250
338,251
338,267
338,320
338,349
339,267
340,109
340,325
340,435
340,484
341,182
341,343
341,482
342,178
342,210
342,272
343,348
344,63
344,196
344,217
344,327
344,360
344,487
345,310
345,369
345,414
345,421
346,110
346,120
346,221
346,330
346,388
346,429
347,279
347,280
347,332
347,369
347,396
347,460
348,198
348,387
348,401
349,106
349,125
349,265
349,330
349,387
349,395
350,394
350,496
351,173
351,195
351,208
351,308
351,474
352,28
